"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Hunt, William Holman, painter, 1827-1910","person","032-002058117","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000039.0x0002a9","","Birkbeck, George, physician and educationist","1776-1841","person","author","Birkbeck, George, physician and educationist, 1776-1841 [author] ; Frey, Eugen, Dr; of Winterthur, Switzerland [former owner] ; Van den Bergh, Henry, of Add Ch 58474 [former owner] ; Wallis, Henry, R WS [former owner]","MISCELLANEOUS letters, papers, and poems. Paper; ff. 268. Folio","","","","","","","Unspecified","","18 items","","Western Manuscripts. Add MS 38794 A-S","","English","includes:. f. 1 Joanna Baillie, dramatist: Letter to - Green: n.d; f. 3 Henry Hallam, historian: Letter to S. Rogers: n.d; f. 4 Reverend James Martineau: Letter to Miss Mallet: 1891; f. 7 Reverend William Henry Dallinger: The Nucleus in some Unicellular Organisms: 1893.: Autogr; ff. 7-90 Zoology: Articles and letters on, by W. H. Dallinger, A. R. Wallace, and A. Newton: 1893-1906; f. 25 Alfred Russel Wallace, OM, FRS: The palaearetic and nearetic regions compared: 1894; ff. 58-90 Alfred Newton, Professor of Zoology at Cambridge University: Letters to H. Scherren: 1904-1906; ff. 58-90 Henry Scherren: Letters to, from Prof . A. Newton: 1904-1906; f. 92 George Meredith, novelist: Letter to Dr. E. Frey: 1909; f. 104 Art. Illuminations and Drawings ENGLISH: 'Life is like an April day.' Sketch by W. Etty: 1824; f. 104 William Etty, RA: Life is like an April day, a sketch by: 1824; ff. 117-.151 William Hepworth Dixon, historian and traveller: Letters to, from Sir C. W. Dilke: 1866-1876; ff. 117-151 Sir Charles Wentworth Dilke, 2nd Baronet; PC; MP: Letters to W. H. Dixon: 1866 - 1876; f. 147 Sir Charles Wentworth Dilke, 2nd Baronet; PC; MP: Letter to Mrs. Dixon: 1875; f. 152 Poetry: R. Browning, Æschylus' Soliloquy, an unfinished poem: bef. 1890.: Autogr; f. 152 Robert Browning, poet: Acschvlus' Soliloquy, unfinished poem by: n.d.: Autogr; f. 154 Walter Savage Landor: 'To Robert Browning,' a sonnet: bef. 1846; f. 154 Poetry: W. S. Landor, sonnet to R Browning: bef. 1846.: Autogr; f. 154 Robert Browning, poet: Sonnet to, by W. S. Landor, poet.: 1846; f. 155 Ludwig van Beethoven, composer: Memorandum by G. Thomson conc. the publication of three Sonatas and three quitettos by: 1810; f. 155 George Thomson, editor of Scottish, Welsh, and Irish airs: Memorandum conc. the publication of works of L. van Beethoven: 1810; f. 156 Robert Browning, poet: Letter to D. G. Rossetti: 1871; f. 157 b Dante Gabriel Rossetti, poet and painter: Letter to H. Wallis: 1871; f. 159 George Baker, topographer: Letter to J. Britton: 1811.: Extract; ff. 159-178 John Britton, antiquary and topographer: Letters to, rel. to his topographical works, etc.: 1811-1852; f. 162 George Birkbeck, MD: Letter to J. Britton: 1826; f. 164 Henry Le Keux, engraver: Letter to J. Britton: 1830; f. 166 Henry Thos. Hope, MP: Letter to J. Britton: 1834; f. 168 George Capel-Coningsby, Viscount Malden; 5th Earl of Essex 1799: Letter to J. Britton: 1835; f. 169 William Hosking, architect and civil engineer: Letter to J. Britton: 1836; f. 170 William Jerdan, journalist; of the 'Literary Gazette': Letter to J. Britton: 1840; f. 172 Dawson Turner, FSA; botanist and antiquary: Letter to J. Britton: 1850; f. 175 Samuel Weller Singer, FSA: Letter M.P, to J. Britton: 1850; f. 176 Anne Elizabeth Baker: Letter to J. Britton: 1850; f. 178 James Orchard Halliwell, afterwards Halliwell-Phillipps; Shakespearian scholar: Letter to J. Britton: 1852; f. 179 John Nichols, printer: Portraits: 1814, 1827.: Engr; f. 179 Art. Portraits: John Nichols, F.S.A.: 1827.: Engr; f. 180 John Flaxman, RA: Letter to W. Hayley: 1798; f. 180 William Hayley, poet: Letter to, from J. Flaxman: 1798; f. 182 Richard Cobden: Letter to P. M. Feeney: 1861; ff. 184-218 Dalziel Brothers; wood engravers: Letters to, from J. E. Millais: 1857-1863; ff. 184-218 Sir John Everett Millais, 1st Baronet; RA: Letters to Dalziel Bros.: 1857-1863; f. 219 Alonso Gutierrez: Letter to Philip II: 1589.: Span; ff. 219, 222 Philip II of Spain: Letter to, f rom A. Gutierrez, with autogr. comment: 1589; ff. 224, 228 William Holman Hunt, painter: Letters to F. M. Brown: 1876, 1877; f. 232 James Hume, Commissioner of Customs: Power of attorney to, from Lord Nelson: 1801; f. 232 Vice-Admiral Horatio Nelson, Viscount Nelson: Power of attorney to J. Hume: 1801; ff. 234-259 George Borrow: King Diderik, and other ballads: 1829.: Autogr.and printed; ff. 234-259 Poetry: G. Borrow, King Diderik and other ballads: 1829.: Autogr. and printed; f. 260 Francis Hodgson, Provost of Eton: Letter of, to Dr. S. Butler, conc. a claim on the writer by Byron's executors: 1824; ff. 263, 267 Elizabeth Cleghorn Gaskell, née Stevenson; novelist: Letters to J. Forster: 1854; ff. 263, 267 Charlotte Brontë, author: Letters of Mrs. Gaskell to J. Forster conc. the engagement of, to Rev. A. B. Nicholls: 1854","Henry Wallis, R WS: Presented: in 1913. Henry Van den Bergh: Presented: in 1913. f.92 Dr Eugen Frey, of Winterthur, Switzerland: Letter to, from Geo. Meredith, presented in 1913 by.: 1909"
"Hurston, Zora Neale","person","012589967","Monograph","Language material ; Text","Volume","GB9720940","","9780195099140 ; 9780195099157","Kaplan, Carla","","person","","Kaplan, Carla [person]","The erotics of talk : women's writing and feminist paradigms","","","","England ; United States of America","New York ; Oxford","Oxford University Press","1996","","x, 240 pages, 24 cm","810.99287","97/08363 ; YC.1997.b.2568","","English","bibliography: p207-225. - Includes index",""
"Hymns, English","general term","014761640","Monograph","Notated music ; Text","Volume","","","9784841931365 ; 9784841931372 ; 9784841931808","Higuchi, Akiko","","person","","Brontë Parsonage Museum, Bonnell 133 [organisation] ; Higuchi, Akiko [person]","The Brontës and music","Branwell Brontë's flute book ; Brontës' world of music","","","Japan","Tokyo","Yushodo","2008","2nd edition","1 score (386 pages) + 1 book (380 pages), 27 cm (in slip case)","780","E.1920.p","","","volume 1 is an edition of two collections of hymns, songs, arias, traditional songs and tunes, etc, the first collection for voice and unfigured bass or piano, the second for unaccompanied flute. The original manuscript form respectively Bonnell manuscript 133 & 56 in the Brontë Parsonage Museum Library ; volume 2 is a monograph",""
"Identification (Psychology) in literature","general term","016227910","Monograph","Language material ; Text","Volume","","","9780814211991","Green, Laura Morgan","","person","author","Green, Laura Morgan, author [person]","Literary identification from Charlotte Brontë to Tsitsi Dangarembga","","Theory and interpretation of narrative","","United States of America","Columbus","Ohio State University Press","2012","","viii, 230 pages, 24 cm","809.393522","m12/.17845","","English","",""
"Identity (Psychology)--Fiction","general term","009406207","Monograph","Language material ; Text","Volume","GBA3W6933","","9780316725477","Boylan, Clare","","person","","Boylan, Clare [person] ; Brontë, Charlotte, 1816-1855 [person]","Emma Brown","","","","England","London","Little, Brown","2003","","438 pages, 25 cm","823.914","Nov.2003/1462","Fiction","English","Based on an unfinished manuscript by Charlotte Brontë",""
"Imperialism in literature","general term","009795616","Monograph","Language material ; Text","Volume","","","9780415070249 ; 9780415095693","Azim, Firdous","","person","","Azim, Firdous [person]","The colonial rise of the novel","","","","England","","Routledge","1993","","","823.8","93/22076","","English","",""
"Imperialism in literature","general term","011967740","Monograph","Language material ; Text","Volume","GB9351218","","9780415070249 ; 9780415095693","Azim, Firdous","1952-","person","","Azim, Firdous, 1952- [person]","The colonial rise of the novel","","","","England ; United States of America","London ; New York","Routledge","1993","","ix, 253 pages, 23 cm","823.8","YC.1994.a.996","","English","bibliography: p234-243. - Includes index",""
"Imperialism in literature","general term","011997015","Monograph","Language material ; Text","Volume","GB9661252","","9780801431326 ; 9780801482557","Meyer, Susan","1960-","person","","Meyer, Susan, 1960- [person]","Imperialism at home : race and Victorian women's fiction","","Reading women writing","","England","Ithaca, New York ; London","Cornell University Press","1996","","x, 220 pages, 24 cm","823.809355","96/20777 ; YC.1996.a.4960","","English","bibliography: p203-212. _ Includes index",""
"Imperialism in literature","general term","014458208","Monograph","Language material ; Text","Volume","GBA797104","","9780230554252","Thomas, Sue","1955-","person","","Thomas, Sue, 1955- [person]","Imperialism, reform, and the making of Englishness in Jane Eyre","","","","England","Basingstoke","Palgrave Macmillan","2008","","xi, 170 pages, 23 cm","823.8","YC.2008.a.9158 ; m10/.18874","","English","",""
"Incest in literature","general term","014791444","Monograph","Language material ; Text","Volume","GBA8C9956","","9780801447075","Corbett, Mary Jean","1962-","person","author","Corbett, Mary Jean, 1962-, author [person]","Family likeness : sex, marriage, and incest from Jane Austen to Virginia Woolf","","","","England ; United States of America","Ithaca ; London","Cornell University Press","2008","","xiv, 264 pages, 25 cm","823.809","YC.2009.a.4026 ; m08/.35260","","English","",""
"Incest in literature","general term","015623771","Monograph","Language material ; Text","Volume","GBB095469","","9780801476631","Corbett, Mary Jean","1962-","person","","Corbett, Mary Jean, 1962- [person]","Family likeness : sex, marriage, and incest from Jane Austen to Virginia Woolf","","","","England ; United States of America","Bristol ; Ithaca, New York","Cornell University Press ; University Presses Marketing","2010","","1 volume, 24 cm","823.809","","","English","Originally published: 2008",""
"Industrial revolution in literature","general term","017625701","Monograph","Language material ; Text","Volume","GBB5G8489","","9781443882187","Balkaya, Mehmet Akif","","person","author","Balkaya, Mehmet Akif, author [person]","The industrial novels : Charlotte Brontë's Shirley, Charles Dickens' Hard times and Elizabeth Gaskell's North and South","","","","England","Newcastle upon Tyne","Cambridge Scholars","2015","","x, 96 pages, 22 cm","823.809355","YC.2017.a.6046","","English","",""
"Influence (Literary, artistic, etc.)","general term","018441330","Monograph","Language material ; Text","Volume","","","9782343051291","Kandji, Alioune Badara","","person","","Kandji, Alioune Badara [person]","Palimpsestes brontëens : relire et réécrire les soeurs Brontë","","Littératures et civilisations","no 4 [Littératures et civilisations]","France","Paris","Harmattan","2014","","214 pages, illustrations, 22 cm","800","","Criticsm and interpretation","French","",""
"Inglis, John, Bishop of Nova Scotia","person","040-002038723","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000337.0x0003cd","","","","","","","","","","","","","","1836-1837","","1 item","","Western Manuscripts. Add MS 44355","","English","Vol. CCLXX (ff. 275). 1836- 1837. includes:. ff. 1, 3, 7, 15, 119, 124, 131, 133, 268 Robert Caparn, election agent; of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1846; ff. 9, 110, 115 James Endell Tyler, Rector of St. Giles-in-the-Fields; Canon of St. Paul's 1845: Correspondence with W. E. Gladstone: 1834-1849; ff. 13, 228 John Frederick Denison Maurice, author and theologian: Correspondence with W. E. Gladstone: 1830-1841; ff. 17, 113, 129, 168, 316 William Edward Tallents, election agent, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1837; f. 18 William Branston, of Newark, county Nottinghamshire: Letter to W. E. Tallents: 1836.: Copy; f. 20 Joseph Anstice, Professor at King's College, London: Letters to W. E. Gladstone: 1832-1836; ff. 22, 29, 60, 62, 97, 105 Reverend Thomas Chalmers, theologian: Correspondence with W. E. Gladstone: 1834-1842; f. 24 James William Farrer, Master in Chancery: Letter to W. E. Gladstone: 1836; f. 26 Mary Harrison, mother of Archdeacon B Harrison: Letter to W. E. Gladstone: 1836; f. 27 Samuel Francis Wood, barrister: Letter to W. E. Gladstone: 1836; f. 31 Dudley Ryder, Viscount Sandon; 2nd Earl of Harrowby: Correspondence with W. E. Gladstone: 1835-1875; f. 33 John Inglis, Bishop of Nova Scotia: Letters to W. E. Gladstone: 1836, 1839; f. 35 John Inglis, Bishop of Nova Scotia: Letter to Sir C. Campbell: 1835.: Copy; ff. 40, 265 Edward Gibbon Wakefield, colonial statesman: Letters to W. E. Gladstone: 1836-1851; ff. 44-259 passim Sir Henry Taylor, KCMG; Colonial Office; author: Correspondence with W. E. Gladstone: 1836-1885; ff. 48, 51, 158 Edward Smith Godfrey, Chairman of Newark election committee: Correspondence with W. E. Gladstone: 1832-1841; ff. 54, 147 John Reddie, Chief Justice of St. Lucia: Letters to W. E. Gladstone: 1836; f. 55 William Boler, of the Royal Mint: Correspondence with W. E. Gladstone: 1836-1847; f. 58 Arthur Wellesley, 1st Duke of Wellington: Letter to Lord Aberdeen: 1836; f. 64 James Spedding, editor of the works of Sir Francis Bacon: Correspondence with W. E. Gladstone: 1836-1876; f. 66 Sir Joseph Napier, Lord Chancellor of Ireland: Correspondence with W. E. Gladstone: 1850-1865; f. 68 Kirkman Finlay, MP, Lord Provost of Glasgow: Letters to W. E. Gladstone: 1832-1836; ff. 72, 80 William Jacobson, Bishop of Chester: Correspondence with W. E. Gladstone: 1836-1884; ff. 72-96 Henry Thompson, of Magdalen Hall, Oxford: Documents rel. to: 1836-1839; ff. 75, 78 William Rawson, Rector of Seaforth: Correspondence with W. E. Gladstone: 1828-1871; ff. 88, 89 Henry Thompson, of Magdalen Hall, Oxford: Letters to W. E. Gladstone: 1836-1839; f. 90 Poetry ENGLISH: Verses by H. Thompson: 1836; f. 100 William Grant Broughton, Bishop of Sydney: Letter to E. Coleridge: 1836; ff. 104, 200 Reverend Robert Simpson, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1834-1843; ff. 107, 121 Joan Canning, Viscountess Canning 1828; wife of George Canning: Letters to W. E. Gladstone: 1836; f. 126 James Bruce, 8th Earl of Elgin and 12th Earl of Kincardine: Correspondence with W. E. Gladstone: 1831-1861; ff. 135, 137 Sir George Clerk, 6th Baronet of Penicuick; statesman: Correspondence with W. E. Gladstone: 1836-1864; f. 139 Sir John Stuart Forbes, 8th Baronet; afterwards Hepburn-Forbes: Correspondence with W. E. Gladstone: 1836-1858; ff. 140, 155 Arthur Pakenham: Correspondence with W. E. Gladstone: 1832-1846; ff. 143, 197, 209, 247, 249 Joseph Williams Blakesley, Dean of Lincoln: Correspondence with W. E. Gladstone: 1833-1870; ff. 145, 146b Sir George Grey, 2nd Baronet; of Fallodon: Correspondence with W. E. Gladstone: 1836-1871; ff. 159, 199 (imperf.), 273 Edward Wilmot, of Portarlington: Letters to W. E. Gladstone: 1833-1839; f. 161 Sir Thomas Gladstone, 2nd Baronet; elder brother of WE Gladstone: Letter to Sir G. Grey: 1837.: Draft; f. 166 John Jeremiah Bigsby, geologist: Letter to, from W. E. Gladstone: 1837.: Draft; f. 173 William Selwyn, Canon of Ely: Correspondence with W. E. Gladstone: 1837-1874; f. 174 John Garrett Bussell, Vicar of Newark, county Nottinghamshire: Letter to, from W. E. Gladstone: 1837.: Draft; ff. 184, 188 Robert Benton Seeley, publisher and author: Letters to F. R. Bonham: 1837; f. 186 Stanley Lees Giffard, Editor of 'The Standard': Letters to W. E. Gladstone: 1837, 1839; f. 190 Charles James Blomfield, Bishop of London: Letter to Rev. J. Husband: 1827; f. 192 Sir Thomas Tancred, 7th Baronet: Correspondence with W. E. Gladstone: 1835-1852; ff. 194, 221, 226 Philip Pusey, MP; agriculturist: Correspondence with W. E. Gladstone: 1837-1865; f. 202 Mary Gaskell, wife of B Gaskell: Letters to W. E. Gladstone: 1830-1840; f. 204 Arthur Henry Dyke Acland, barrister: Letters to W. E. Gladstone: 1835-1852; ff. 206, 207 Stratford Canning, Viscount Stratford de Redcliffe: Correspondence with W. E. Gladstone: 1837-1880; f. 208 Charles John Canning, 2nd Viscount and (1859) Earl Canning: Letter to Sir Stratford Canning: 1837; ff. 212, 222 Henry Phillpotts, Bishop of Exeter: Correspondence with W. E. Gladstone: 1837-1866; ff. 213, 219 Sir Robert Heron, 2nd Baronet: Letters to W. E. Gladstone: 1837; f. 217 John Harty, physician: Letter to, from W. E. Gladstone: 1837.: Copy; f. 224 Colonel John MacInnes, General 1856: Letter to W. E. Gladstone: 1837; ff. 230, 260, 271 Reverend Charles Richard Elrington, Regius Professor of Divinity at Trinity College, Dublin: Letters to W. E. Gladstone: 1837-1844; f. 236 Charlotte Brontë, author: Letter to, from Robert Southey: 1837.: Copy; f. 236 Robert Southey, poet: Letter to Charlotte Brontë: 1837.: Copy; f. 240 George William Finch-Hatton, 10th Earl of Winchilsea: Correspondence with W. E. Gladstone: 1832-1845; f. 241 Digby Willoughby, 7th Baron Middleton: Letters to W. E. Gladstone: 1837, 1841; f. 242 Manchester, Lancashire: Invitation to W. E. Gladstone to contest the constituency: 1837; f. 243 Hon Edward Harcourt, formerly Venables-Vernon; Archbishop of York: Letters to W. E. Gladstone: 1837-1841; f. 245 Isabella Ramsay, wife of Dean Ramsay: Letters to W. E. Gladstone: 1834-1843; f. 252 Sir Thomas Fowell Buxton, 1st Baronet; philanthropist: Letters to W. E. Gladstone: 1837-1840; f. 257 Sir James Stephen, KCB: Correspondence with W. E. Gladstone: 1835-1855; f. 266 Arthur Wellesley, 1st Duke of Wellington: Correspondence with W. E. Gladstone: 1837-1846",""
"Inheritance and succession--Fiction","general term","013074833","Monograph","Language material ; Text","Volume","GBA501410","","9781843911173","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The spell : an extravaganza","","Hesperus classics","","England","London","Hesperus","2005","","ix, 136 pages, 20 cm","823.8","H.2006/258","Fiction","English","",""
"Ireland--Foreign public opinion, English","geographical term","009812938","Monograph","Language material ; Text","Volume","","","9780761817765 ; 9780761817772","Constable, Kathleen","","person","","Constable, Kathleen [person]","A stranger within the gates : Charlotte Brontë and Victorian Irishness","","","","United States of America","Lanham, Maryland","America ; University Press","2000","","","823.8","m00/43679","Biography","English","",""
"Ireland--Politics and government--19th century","geographical term","009812938","Monograph","Language material ; Text","Volume","","","9780761817765 ; 9780761817772","Constable, Kathleen","","person","","Constable, Kathleen [person]","A stranger within the gates : Charlotte Brontë and Victorian Irishness","","","","United States of America","Lanham, Maryland","America ; University Press","2000","","","823.8","m00/43679","Biography","English","",""
"Irish--England--History--19th century","general term","009812938","Monograph","Language material ; Text","Volume","","","9780761817765 ; 9780761817772","Constable, Kathleen","","person","","Constable, Kathleen [person]","A stranger within the gates : Charlotte Brontë and Victorian Irishness","","","","United States of America","Lanham, Maryland","America ; University Press","2000","","","823.8","m00/43679","Biography","English","",""
"JUVENILE FICTION / Historical / General","general term","018333205","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB778178","","9780571337101","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855, author [person]","Jane Eyre","","","","England","London","Faber & Faber","2017","Main","1 online resource","823.8","ELD.DS.148198","Fiction ; Young adult fiction","English","Additional physical form: Print version. 9780571337095",""
"JUVENILE FICTION / Love & Romance","general term","018333205","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB778178","","9780571337101","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855, author [person]","Jane Eyre","","","","England","London","Faber & Faber","2017","Main","1 online resource","823.8","ELD.DS.148198","Fiction ; Young adult fiction","English","Additional physical form: Print version. 9780571337095",""
"JUVENILE FICTION / Science Fiction","general term","018872563","Monograph","Language material ; Text","Online resource","GBB8D5280","","9781785659430","Donne, Alexa","","person","","Donne, Alexa [person] ; Brontë, Charlotte, 1816-1855 [person]","Brightly burning","Jane Eyre","","","England","London","Titan","2018","","1 online resource","823.92","ELD.DS.285740","Children's fiction ; Fiction ; Romance fiction ; Science fiction","English","",""
"Jacobs, Harriet Ann, 1813-1897","person","012589967","Monograph","Language material ; Text","Volume","GB9720940","","9780195099140 ; 9780195099157","Kaplan, Carla","","person","","Kaplan, Carla [person]","The erotics of talk : women's writing and feminist paradigms","","","","England ; United States of America","New York ; Oxford","Oxford University Press","1996","","x, 240 pages, 24 cm","810.99287","97/08363 ; YC.1997.b.2568","","English","bibliography: p207-225. - Includes index",""
"Jacobson, William, Bishop of Chester","person","040-002038723","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000337.0x0003cd","","","","","","","","","","","","","","1836-1837","","1 item","","Western Manuscripts. Add MS 44355","","English","Vol. CCLXX (ff. 275). 1836- 1837. includes:. ff. 1, 3, 7, 15, 119, 124, 131, 133, 268 Robert Caparn, election agent; of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1846; ff. 9, 110, 115 James Endell Tyler, Rector of St. Giles-in-the-Fields; Canon of St. Paul's 1845: Correspondence with W. E. Gladstone: 1834-1849; ff. 13, 228 John Frederick Denison Maurice, author and theologian: Correspondence with W. E. Gladstone: 1830-1841; ff. 17, 113, 129, 168, 316 William Edward Tallents, election agent, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1837; f. 18 William Branston, of Newark, county Nottinghamshire: Letter to W. E. Tallents: 1836.: Copy; f. 20 Joseph Anstice, Professor at King's College, London: Letters to W. E. Gladstone: 1832-1836; ff. 22, 29, 60, 62, 97, 105 Reverend Thomas Chalmers, theologian: Correspondence with W. E. Gladstone: 1834-1842; f. 24 James William Farrer, Master in Chancery: Letter to W. E. Gladstone: 1836; f. 26 Mary Harrison, mother of Archdeacon B Harrison: Letter to W. E. Gladstone: 1836; f. 27 Samuel Francis Wood, barrister: Letter to W. E. Gladstone: 1836; f. 31 Dudley Ryder, Viscount Sandon; 2nd Earl of Harrowby: Correspondence with W. E. Gladstone: 1835-1875; f. 33 John Inglis, Bishop of Nova Scotia: Letters to W. E. Gladstone: 1836, 1839; f. 35 John Inglis, Bishop of Nova Scotia: Letter to Sir C. Campbell: 1835.: Copy; ff. 40, 265 Edward Gibbon Wakefield, colonial statesman: Letters to W. E. Gladstone: 1836-1851; ff. 44-259 passim Sir Henry Taylor, KCMG; Colonial Office; author: Correspondence with W. E. Gladstone: 1836-1885; ff. 48, 51, 158 Edward Smith Godfrey, Chairman of Newark election committee: Correspondence with W. E. Gladstone: 1832-1841; ff. 54, 147 John Reddie, Chief Justice of St. Lucia: Letters to W. E. Gladstone: 1836; f. 55 William Boler, of the Royal Mint: Correspondence with W. E. Gladstone: 1836-1847; f. 58 Arthur Wellesley, 1st Duke of Wellington: Letter to Lord Aberdeen: 1836; f. 64 James Spedding, editor of the works of Sir Francis Bacon: Correspondence with W. E. Gladstone: 1836-1876; f. 66 Sir Joseph Napier, Lord Chancellor of Ireland: Correspondence with W. E. Gladstone: 1850-1865; f. 68 Kirkman Finlay, MP, Lord Provost of Glasgow: Letters to W. E. Gladstone: 1832-1836; ff. 72, 80 William Jacobson, Bishop of Chester: Correspondence with W. E. Gladstone: 1836-1884; ff. 72-96 Henry Thompson, of Magdalen Hall, Oxford: Documents rel. to: 1836-1839; ff. 75, 78 William Rawson, Rector of Seaforth: Correspondence with W. E. Gladstone: 1828-1871; ff. 88, 89 Henry Thompson, of Magdalen Hall, Oxford: Letters to W. E. Gladstone: 1836-1839; f. 90 Poetry ENGLISH: Verses by H. Thompson: 1836; f. 100 William Grant Broughton, Bishop of Sydney: Letter to E. Coleridge: 1836; ff. 104, 200 Reverend Robert Simpson, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1834-1843; ff. 107, 121 Joan Canning, Viscountess Canning 1828; wife of George Canning: Letters to W. E. Gladstone: 1836; f. 126 James Bruce, 8th Earl of Elgin and 12th Earl of Kincardine: Correspondence with W. E. Gladstone: 1831-1861; ff. 135, 137 Sir George Clerk, 6th Baronet of Penicuick; statesman: Correspondence with W. E. Gladstone: 1836-1864; f. 139 Sir John Stuart Forbes, 8th Baronet; afterwards Hepburn-Forbes: Correspondence with W. E. Gladstone: 1836-1858; ff. 140, 155 Arthur Pakenham: Correspondence with W. E. Gladstone: 1832-1846; ff. 143, 197, 209, 247, 249 Joseph Williams Blakesley, Dean of Lincoln: Correspondence with W. E. Gladstone: 1833-1870; ff. 145, 146b Sir George Grey, 2nd Baronet; of Fallodon: Correspondence with W. E. Gladstone: 1836-1871; ff. 159, 199 (imperf.), 273 Edward Wilmot, of Portarlington: Letters to W. E. Gladstone: 1833-1839; f. 161 Sir Thomas Gladstone, 2nd Baronet; elder brother of WE Gladstone: Letter to Sir G. Grey: 1837.: Draft; f. 166 John Jeremiah Bigsby, geologist: Letter to, from W. E. Gladstone: 1837.: Draft; f. 173 William Selwyn, Canon of Ely: Correspondence with W. E. Gladstone: 1837-1874; f. 174 John Garrett Bussell, Vicar of Newark, county Nottinghamshire: Letter to, from W. E. Gladstone: 1837.: Draft; ff. 184, 188 Robert Benton Seeley, publisher and author: Letters to F. R. Bonham: 1837; f. 186 Stanley Lees Giffard, Editor of 'The Standard': Letters to W. E. Gladstone: 1837, 1839; f. 190 Charles James Blomfield, Bishop of London: Letter to Rev. J. Husband: 1827; f. 192 Sir Thomas Tancred, 7th Baronet: Correspondence with W. E. Gladstone: 1835-1852; ff. 194, 221, 226 Philip Pusey, MP; agriculturist: Correspondence with W. E. Gladstone: 1837-1865; f. 202 Mary Gaskell, wife of B Gaskell: Letters to W. E. Gladstone: 1830-1840; f. 204 Arthur Henry Dyke Acland, barrister: Letters to W. E. Gladstone: 1835-1852; ff. 206, 207 Stratford Canning, Viscount Stratford de Redcliffe: Correspondence with W. E. Gladstone: 1837-1880; f. 208 Charles John Canning, 2nd Viscount and (1859) Earl Canning: Letter to Sir Stratford Canning: 1837; ff. 212, 222 Henry Phillpotts, Bishop of Exeter: Correspondence with W. E. Gladstone: 1837-1866; ff. 213, 219 Sir Robert Heron, 2nd Baronet: Letters to W. E. Gladstone: 1837; f. 217 John Harty, physician: Letter to, from W. E. Gladstone: 1837.: Copy; f. 224 Colonel John MacInnes, General 1856: Letter to W. E. Gladstone: 1837; ff. 230, 260, 271 Reverend Charles Richard Elrington, Regius Professor of Divinity at Trinity College, Dublin: Letters to W. E. Gladstone: 1837-1844; f. 236 Charlotte Brontë, author: Letter to, from Robert Southey: 1837.: Copy; f. 236 Robert Southey, poet: Letter to Charlotte Brontë: 1837.: Copy; f. 240 George William Finch-Hatton, 10th Earl of Winchilsea: Correspondence with W. E. Gladstone: 1832-1845; f. 241 Digby Willoughby, 7th Baron Middleton: Letters to W. E. Gladstone: 1837, 1841; f. 242 Manchester, Lancashire: Invitation to W. E. Gladstone to contest the constituency: 1837; f. 243 Hon Edward Harcourt, formerly Venables-Vernon; Archbishop of York: Letters to W. E. Gladstone: 1837-1841; f. 245 Isabella Ramsay, wife of Dean Ramsay: Letters to W. E. Gladstone: 1834-1843; f. 252 Sir Thomas Fowell Buxton, 1st Baronet; philanthropist: Letters to W. E. Gladstone: 1837-1840; f. 257 Sir James Stephen, KCB: Correspondence with W. E. Gladstone: 1835-1855; f. 266 Arthur Wellesley, 1st Duke of Wellington: Correspondence with W. E. Gladstone: 1837-1846",""
"Jameson, Mrs (Anna), 1794-1860--Criticism and interpretation","person","019173637","Monograph","Language material ; Text","Volume","GBB8N4970","","9780814255131","Houston, Gail Turley","1950-","person","author","Houston, Gail Turley, 1950-, author [person]","Victorian women writers, radical grandmothers, and the gendering of God","","Literature, religion, and postsecular studies","","United States of America","Columbus","Ohio State University Press","2018","","1 volume","820.9928709034","","","English","",""
"Jane Eyre (Brontë, Charlotte)","title","019588461","Monograph","Language material ; Text","Online resource","GBB9H8558","","9781137581693","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","","","United States of America","New York","Palgrave Macmillan","2016","","1 online resource","813.009352352","ELD.DS.466477","Criticsm and interpretation","English","",""
